WEEK 4 — OVERFITTING ANALYSIS
============================================================

Epochs analyzed: 20
Best validation loss: 0.141299
Best validation epoch: 19

OVERFITTING DETECTED
Detected at epoch: 17
Validation loss increased while training loss continued decreasing for at least 2 consecutive epochs.
Best checkpoint epoch: 19

EPOCH-BY-EPOCH RESULTS
------------------------------------------------------------
Epoch  0 | Train: 0.791149 | Val: 0.565804 | 
Epoch  1 | Train: 0.328534 | Val: 0.408351 | 
Epoch  2 | Train: 0.231112 | Val: 0.295164 | 
Epoch  3 | Train: 0.171134 | Val: 0.281123 | 
Epoch  4 | Train: 0.146115 | Val: 0.253096 | 
Epoch  5 | Train: 0.123228 | Val: 0.330051 | 
Epoch  6 | Train: 0.104864 | Val: 0.247094 | 
Epoch  7 | Train: 0.096999 | Val: 0.270023 | 
Epoch  8 | Train: 0.082918 | Val: 0.240193 | 
Epoch  9 | Train: 0.071743 | Val: 0.172643 | 
Epoch 10 | Train: 0.058400 | Val: 0.187142 | 
Epoch 11 | Train: 0.052742 | Val: 0.172032 | 
Epoch 12 | Train: 0.046903 | Val: 0.178261 | 
Epoch 13 | Train: 0.041027 | Val: 0.167865 | 
Epoch 14 | Train: 0.032551 | Val: 0.155063 | 
Epoch 15 | Train: 0.026218 | Val: 0.148981 | 
Epoch 16 | Train: 0.025290 | Val: 0.153984 | 
Epoch 17 | Train: 0.020151 | Val: 0.170534 | 
Epoch 18 | Train: 0.021698 | Val: 0.150742 | 
Epoch 19 | Train: 0.021086 | Val: 0.141299 | BEST VAL
